phase,pc,lag_ms,src,dst,region_src,region_dst,config_count,successful_config_count,stability_fraction,max_k,max_n_subjects,min_p_value,min_q_value,topk_values,min_subjects_values,p0_inflate_values
BothStartLoadPhase__LiftOff,pc1,50,PO10,O2,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,50,PO9,O1,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,100,PO10,O2,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,150,PO10,O2,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,150,PO9,O1,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,200,PO10,O2,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc1,200,PO9,O1,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
BothStartLoadPhase__LiftOff,pc2,50,O2,Oz,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO10,O2,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,50,PO9,O1,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,100,PO10,O2,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO10,O2,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,150,PO9,O1,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO10,O2,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
FirstDigitTouch__BothStartLoadPhase,pc1,200,PO9,O1,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
HandStart__FirstDigitTouch,pc1,50,PO10,O2,O_Vis,O_Vis,27,27,1.0,12,12,6.563568743961737e-20,4.625026347489317e-19,5 10 15,3 4 5,5.0 10.0 15.0
